r_prime_um,beta,A,beta_se,r2,n_frames,epsilon_final,trial_id
900,0.8162133877295518,5.154645476055406,0.058964226778911055,0.9551380207167233,11,0.15649306658675904,0.5to1.4
1200,0.8068787530041897,5.165837435150244,0.08544935891331754,0.9083184966994879,11,0.11807653989392858,0.5to1.4
1500,0.5978272279480533,9.243567861346897,0.04184887825485424,0.962276989165292,10,0.09449889444462072,0.5to1.4
1800,1.2055245993672803,2.0110838232870907,0.07679032764466887,0.9647688617155324,11,0.08652175129230939,0.5to1.4
2100,0.963961514788063,3.7313658099935183,0.05164914957281726,0.9748133200570596,11,0.07216530270555016,0.5to1.4
2400,0.6174217573891124,7.904273920890429,0.05594877574668899,0.9456445281001652,9,0.0666517523146032,0.5to1.4
2700,0.7786628717393665,5.17059906414328,0.0769402970624995,0.9275503543120526,10,0.05638714335679306,0.5to1.4
3000,1.0480099450689002,2.5368356895944593,0.09458515335960146,0.9316980895584633,11,0.014562878221429624,0.5to1.4
0,1.5593407932454784,0.35820469449921377,0.18202452243305162,0.890760169320494,11,0.13196395959885404,0.5to1.5
300,1.1411670203399433,1.5243407769419683,0.12104616132993697,0.917422279823105,10,0.25618243384659606,0.5to1.5
600,0.4575304469304722,10.683931861177497,0.19491500309112147,0.5242613797528297,7,0.20262292817386193,0.5to1.5
900,0.6273162665056882,7.484295641200802,0.12939642585470587,0.7966328045082044,8,0.15098848558081773,0.5to1.5
1200,0.5386364061417453,9.627123480727557,0.02819638566021666,0.9785480092377241,10,0.1197529748469806,0.5to1.5
1500,0.7694225413343921,5.601129034672346,0.0606317723047775,0.9526734585233406,10,0.1131489142326626,0.5to1.5
1800,0.8893187160025704,4.269207976465386,0.07801370298933294,0.9420075708279566,10,0.09039189072232245,0.5to1.5
2100,0.6739439950616044,7.262692097322359,0.03861533684115731,0.9713008960169859,11,0.07521329035779162,0.5to1.5
2400,1.14764166799767,2.3104536639614484,0.08236187406327741,0.9604274203656712,10,0.06739296160381993,0.5to1.5
2700,0.6824121088688356,7.73702056117707,0.0481670731589006,0.9570858541496283,11,0.06487679028296467,0.5to1.5
3000,0.498729335262533,11.866710729421452,0.05067837226397186,0.9325929017524006,9,0.050188728860378645,0.5to1.5
3300,0.33338692834535927,18.73521500067232,0.045758200191474745,0.8834954018716167,9,0.008127028653161438,0.5to1.5
0,1.439442635683042,0.5291132483078737,0.23599800180584407,0.8230186206852065,10,0.10320072956624955,0.5to1.7
300,0.6118345517610934,6.448839538357671,0.07008107596998238,0.9050101976670768,10,0.19337022838415555,0.5to1.7
600,1.158232650944884,1.863101784100423,0.06276119460768396,0.9742542461782056,11,0.18094560244277766,0.5to1.7
900,1.2765934340764333,1.6020140947671642,0.10337029420650401,0.9442777604842856,11,0.14167455241904034,0.5to1.7
1200,1.0895518433691764,2.8630949164129893,0.046857420584730865,0.983626790665787,11,0.12111211034202134,0.5to1.7
1500,1.2821891286579166,1.9389252018234084,0.0928388093463464,0.9549417486486884,11,0.1217303253627157,0.5to1.7
1800,1.0697533210636865,3.0938459740067414,0.045067690735112395,0.9842774363043123,11,0.08812441682141788,0.5to1.7
