sample,cx_svg,cy_svg,rx_svg,ry_svg,r_eq_svg,rx_mm,ry_mm,r_eq_mm,area_mm2,dist_svg,dist_mm,aspect,mm_per_svg,dist_norm,zone
RSR1,156.8114,65.2959,3.8,3.4833,3.6382,0.05971,0.05474,0.05717,0.0102676,138.9015,2.18264,1.0909,0.0157136,0.505507536384944,Mid
RSR1,196.7109,80.369,3.6733,3.3566,3.5114,0.05772,0.05274,0.05518,0.0095644,99.0839,1.55696,1.0943,0.0157136,0.36059772287225667,Mid
RSR1,148.0082,16.7831,4.7499,3.99,4.3534,0.07464,0.0627,0.06841,0.0147013,177.7464,2.79304,1.1905,0.0157136,0.6468784451052871,Far
RSR1,109.122,21.8497,4.1166,4.2433,4.1795,0.06469,0.06668,0.06567,0.0135501,203.4099,3.1963,0.9701,0.0157136,0.7402749599325571,Far
RSR1,99.6854,15.3898,4.6866,4.3699,4.5255,0.07364,0.06867,0.07111,0.0158868,214.753,3.37454,1.0725,0.0157136,0.781556006410791,Far
RSR1,119.9518,1.9633,3.42,4.1166,3.7522,0.05374,0.06469,0.05896,0.010921,208.553,3.27712,0.8308,0.0157136,0.7589931723224295,Far
RSR1,131.4458,-9.3624,4.2433,3.8633,4.0488,0.06668,0.06071,0.06362,0.0127163,207.5053,3.26066,1.0984,0.0157136,0.7551809751442892,Far
RSR1,139.6974,62.2559,5.0666,4.8766,4.9707,0.07961,0.07663,0.07811,0.0191662,153.7017,2.41521,1.039,0.0157136,0.5593716127956422,Mid
RSR1,121.9785,45.3461,2.28,2.4066,2.3424,0.03583,0.03782,0.03681,0.0042564,178.1803,2.79985,0.9474,0.0157136,0.6484556664165347,Far
RSR1,112.3519,29.6396,3.42,3.1666,3.2909,0.05374,0.04976,0.05171,0.0084008,195.8162,3.07698,1.08,0.0157136,0.7126400044467914,Far
RSR1,114.0619,38.0629,2.9766,2.85,2.9126,0.04677,0.04478,0.04577,0.0065806,188.9361,2.96887,1.0444,0.0157136,0.6876013266260897,Far
RSR1,161.4347,-18.2398,3.7366,4.1799,3.9521,0.05872,0.06568,0.0621,0.0121158,191.02,3.00161,0.8939,0.0157136,0.6951840323133506,Far
RSR1,137.3683,25.8397,3.1033,2.7866,2.9407,0.04876,0.04379,0.04621,0.0067082,179.6659,2.8232,1.1136,0.0157136,0.6538636132032647,Far
RSR1,131.985,21.7864,2.5333,3.1666,2.8323,0.03981,0.04976,0.04451,0.0062228,186.3816,2.92873,0.8,0.0157136,0.6783047534346831,Far
RSR1,143.9549,27.1063,2.5966,2.4066,2.4998,0.0408,0.03782,0.03928,0.0048476,173.9055,2.73268,1.0789,0.0157136,0.6328988447606608,Far
RSR1,197.4709,71.3124,2.7866,2.9133,2.8493,0.04379,0.04578,0.04477,0.0062975,104.5411,1.64272,0.9565,0.0157136,0.3804600576230048,Mid
RSR1,183.2844,75.3657,3.04,3.04,3.04,0.04777,0.04777,0.04777,0.0071687,112.437,1.76679,1.0,0.0157136,0.40919513076345854,Mid
RSR1,176.3178,72.0091,1.9,1.9633,1.9314,0.02986,0.03085,0.03035,0.0028936,119.8714,1.88361,0.9677,0.0157136,0.43625107695728305,Mid
RSR1,172.8978,75.3024,1.7733,1.71,1.7414,0.02787,0.02687,0.02736,0.0023522,120.2341,1.88931,1.037,0.0157136,0.43757121814290884,Mid
RSR1,168.9712,83.0923,2.4066,2.5333,2.4692,0.03782,0.03981,0.0388,0.0047293,117.9838,1.85395,0.95,0.0157136,0.42938171071769365,Mid
RSR1,173.9112,88.1589,2.1533,2.0266,2.089,0.03384,0.03185,0.03283,0.0033852,110.925,1.74303,1.0625,0.0157136,0.4036922264528502,Mid
RSR1,159.4713,83.3456,1.9,2.0266,1.9623,0.02986,0.03185,0.03083,0.0029869,124.9082,1.96276,0.9375,0.0157136,0.4545825111401388,Mid
RSR1,152.9481,80.6223,1.71,1.71,1.71,0.02687,0.02687,0.02687,0.0022682,131.5904,2.06776,1.0,0.0157136,0.4789009014016657,Mid
RSR1,155.4814,76.6324,1.71,1.6466,1.678,0.02687,0.02587,0.02637,0.0021842,132.3531,2.07974,1.0385,0.0157136,0.4816755139286476,Mid
RSR1,148.4515,38.8228,3.6733,3.61,3.6415,0.05772,0.05673,0.05722,0.0102863,162.754,2.55745,1.0175,0.0157136,0.5923149254699239,Mid
RSR1,155.5447,44.2694,3.5466,3.3566,3.4503,0.05573,0.05274,0.05422,0.0092346,153.8346,2.4173,1.0566,0.0157136,0.559855664563705,Mid
RSR1,141.1682,33.9462,2.9766,2.9133,2.9448,0.04677,0.04578,0.04627,0.0067268,171.436,2.69388,1.0217,0.0157136,0.6239126205497346,Far
RSR1,133.5683,38.5695,2.5966,2.47,2.5325,0.0408,0.03881,0.03979,0.0049751,174.0348,2.73471,1.0513,0.0157136,0.633369000305717,Far
RSR1,127.3617,25.2697,1.8366,1.9633,1.8989,0.02886,0.03085,0.02984,0.0027971,187.5163,2.94656,0.9355,0.0157136,0.6824342477048072,Far
RSR1,145.8548,-7.5366,3.4833,3.4833,3.4833,0.05474,0.05474,0.05474,0.009412,195.5324,3.07252,1.0,0.0157136,0.7116070518699684,Far
RSR1,225.4639,-17.6698,3.2933,3.7366,3.508,0.05175,0.05872,0.05512,0.0095458,142.8341,2.24444,0.8814,0.0157136,0.5198206460817284,Mid
RSR1,231.4171,-10.7032,3.9266,3.99,3.9582,0.0617,0.0627,0.0622,0.0121531,133.7548,2.10177,0.9841,0.0157136,0.4867777438092327,Mid
RSR1,221.1572,58.2026,2.0266,1.71,1.8616,0.03185,0.02687,0.02925,0.0026882,95.577,1.50186,1.1852,0.0157136,0.34783635807787444,Mid
RSR1,218.8139,61.3692,1.4566,1.5833,1.5187,0.02289,0.02488,0.02386,0.0017891,95.2201,1.49625,0.92,0.0157136,0.34653706122675865,Mid
RSR1,224.0072,61.9392,1.33,1.2667,1.2979,0.0209,0.0199,0.0204,0.0013068,90.9634,1.42936,1.05,0.0157136,0.33104508861158205,Mid
RSR1,211.974,63.5859,1.9633,1.6466,1.798,0.03085,0.02587,0.02825,0.0025078,98.8525,1.55333,1.1923,0.0157136,0.3597570013803582,Mid
RSR1,205.0075,66.6258,1.71,1.7733,1.7414,0.02687,0.02787,0.02736,0.0023522,102.0317,1.60329,0.9643,0.0157136,0.3713279230705095,Mid
RSR1,191.9609,47.4994,3.7366,4.0533,3.8917,0.05872,0.06369,0.06115,0.0117486,124.4962,1.95628,0.9219,0.0157136,0.45308171905542743,Mid
RSR1,214.5073,98.3554,1.9633,1.9633,1.9633,0.03085,0.03085,0.03085,0.0029901,73.8313,1.16015,1.0,0.0157136,0.2686950520181948,Mid
RSR1,215.0773,105.6387,1.9,1.52,1.6994,0.02986,0.02388,0.0267,0.0022402,68.5607,1.07733,1.25,0.0157136,0.24951363219476946,Mid
RSR1,213.6207,113.2386,1.9633,1.9,1.9314,0.03085,0.02986,0.03035,0.0028936,64.5926,1.01498,1.0333,0.0157136,0.23507314045375802,Mid
RSR1,217.9906,124.1951,1.7733,1.9633,1.8659,0.02787,0.03085,0.02932,0.0027007,54.0412,0.84918,0.9032,0.0157136,0.19667324421222315,Near
RSR1,215.964,118.6852,2.28,2.1533,2.2157,0.03583,0.03384,0.03482,0.0038083,59.2197,0.93056,1.0588,0.0157136,0.2155211546834904,Mid
RSR1,239.017,95.6321,1.7733,1.6466,1.7088,0.02787,0.02587,0.02685,0.0022651,57.343,0.90106,1.0769,0.0157136,0.2086888450385852,Mid
RSR1,261.8801,119.1918,1.71,1.7733,1.7414,0.02687,0.02787,0.02736,0.0023522,24.5999,0.38655,0.9643,0.0157136,0.08952641671993553,Near
RSR1,256.8134,123.3718,1.5833,1.52,1.5513,0.02488,0.02388,0.02438,0.0018668,25.6022,0.4023,1.0417,0.0157136,0.09317417525916456,Near
RSR1,259.5367,48.1961,2.7866,2.7233,2.7548,0.04379,0.04279,0.04329,0.0058868,73.5781,1.15618,1.0233,0.0157136,0.2677755852625923,Mid
RSR1,244.4003,41.9261,3.3566,3.2933,3.3248,0.05274,0.05175,0.05224,0.008575,89.0505,1.3993,1.0192,0.0157136,0.3240830808852821,Mid
